time toxic immune normal
0 1 1 1
1 2 2 1
2 2 2 2
3 4 4 4
4 7 6 6
5 10 7 8
6 17 12 14
7 24 14 18
8 29 20 25
9 34 27 34
10 42 30 41
11 47 40 47
12 55 44 59
13 67 55 74
14 77 68 85
15 88 81 97
16 100 98 105
17 114 116 119
18 126 137 129
19 149 149 149
20 169 170 161
21 188 189 179
22 205 210 196
23 222 228 220
24 247 248 241
25 274 276 271
26 295 302 295
27 325 332 318
28 359 355 343
29 388 383 369
30 419 414 404
31 447 442 436
32 478 481 467
33 508 523 502
34 550 555 533
35 583 594 568
36 619 641 597
37 669 683 630
38 714 718 666
39 746 771 710
40 796 815 745
41 837 864 801
42 886 920 835
43 921 978 878
44 965 1016 919
45 1003 1074 962
46 1050 1126 1011
47 1083 1173 1070
48 1122 1233 1125
49 1144 1291 1171
50 1181 1351 1234
51 1220 1404 1275
52 1250 1461 1336
53 1301 1518 1387
54 1325 1567 1436
55 1369 1616 1494
56 1401 1653 1552
57 1449 1691 1611
58 1479 1744 1665
59 1528 1792 1727
60 1560 1838 1791
61 1589 1881 1852
62 1609 1929 1918
63 1634 1981 1991
64 1678 2034 2061
65 1704 2090 2133
66 1737 2131 2199
67 1770 2167 2272
68 1811 2228 2330
69 1823 2276 2406
70 1862 2323 2469
71 1897 2361 2542
72 1946 2391 2607
73 1982 2435 2663
74 2019 2472 2730
75 2061 2510 2797
76 2089 2542 2856
77 2129 2585 2901
78 2168 2612 2951
79 2192 2655 2994
80 2224 2693 3048
81 2239 2722 3117
82 2251 2760 3175
83 2265 2805 3242
84 2278 2853 3297
85 2284 2897 3361
86 2304 2938 3421
87 2328 2969 3477
88 2330 3023 3521
89 2341 3074 3558
90 2355 3112 3597
91 2378 3148 3622
92 2383 3190 3665
93 2401 3231 3680
94 2408 3272 3699
95 2427 3295 3727
96 2435 3329 3747
97 2424 3374 3768
98 2406 3404 3796
99 2397 3447 3798
100 2389 3466 3822
101 2395 3499 3831
102 2390 3525 3845
103 2407 3538 3855
104 2396 3553 3886
105 2386 3572 3909
106 2379 3577 3944
107 2394 3585 3949
108 2396 3588 3967
109 2376 3608 3985
110 2355 3638 3986
111 2361 3650 3981
112 2341 3670 3984
113 2284 3696 4016
114 2259 3704 4036
115 2229 3687 4084
116 2211 3671 4118
117 2207 3652 4141
118 2201 3636 4163
119 2198 3595 4207
120 2200 3580 4220
121 2195 3573 4232
122 2181 3579 4240
123 2173 3562 4265
124 2167 3554 4279
125 2168 3543 4289
126 2161 3528 4311
127 2177 3500 4323
128 2174 3500 4326
129 2189 3481 4330
130 2204 3464 4332
131 2205 3454 4341
132 2198 3427 4375
133 2190 3435 4375
134 2214 3410 4376
135 2247 3380 4373
136 2245 3368 4387
137 2256 3346 4398
138 2287 3348 4365
139 2310 3328 4362
140 2312 3334 4354
141 2303 3316 4381
142 2318 3294 4388
143 2360 3280 4360
144 2394 3266 4340
145 2417 3257 4326
146 2437 3247 4316
147 2449 3219 4332
148 2504 3179 4317
149 2583 3150 4267
150 2629 3133 4238
151 2678 3102 4220
152 2713 3101 4186
153 2745 3088 4167
154 2780 3066 4154
155 2838 3046 4116
156 2883 3020 4097
157 2920 2995 4085
158 2983 2966 4051
159 2991 2964 4045
160 3046 2913 4041
161 3111 2865 4024
162 3149 2839 4012
163 3201 2832 3967
164 3230 2801 3969
165 3288 2783 3929
166 3343 2762 3895
167 3402 2762 3836
168 3430 2779 3791
169 3468 2824 3708
170 3487 2816 3697
171 3531 2840 3629
172 3561 2846 3593
173 3529 2909 3562
174 3529 2939 3532
175 3511 3011 3478
176 3464 3089 3447
177 3435 3123 3442
178 3381 3199 3420
179 3344 3229 3427
180 3309 3276 3415
181 3277 3278 3445
182 3254 3277 3469
183 3184 3310 3506
184 3158 3317 3525
185 3196 3254 3550
186 3204 3234 3562
187 3260 3162 3578
188 3266 3133 3601
189 3316 3100 3584
190 3375 3104 3521
191 3444 3100 3456
192 3476 3063 3461
193 3531 3030 3439
194 3574 3065 3361
195 3589 3080 3331
196 3677 3082 3241
197 3684 3154 3162
198 3688 3171 3141
199 3714 3218 3068
200 3666 3310 3024
201 3638 3316 3046
202 3616 3357 3027
203 3569 3416 3015
204 3520 3486 2994
205 3522 3541 2937
206 3488 3589 2923
207 3481 3653 2866
208 3429 3708 2863
209 3400 3738 2862
210 3297 3813 2890
211 3248 3820 2932
212 3225 3793 2982
213 3159 3829 3012
214 3104 3812 3084
215 3068 3790 3142
216 2966 3793 3241
217 2912 3718 3370
218 2856 3682 3462
219 2830 3572 3598
220 2838 3481 3681
221 2823 3424 3753
222 2892 3343 3765
223 2911 3276 3813
224 2983 3212 3805
225 3061 3176 3763
226 3130 3120 3750
227 3214 3053 3733
228 3287 3027 3686
229 3357 3003 3640
230 3469 3012 3519
231 3610 3030 3360
232 3673 3060 3267
233 3719 3075 3206
234 3713 3150 3137
235 3674 3225 3101
236 3670 3263 3067
237 3705 3272 3023
238 3707 3287 3006
239 3675 3339 2986
240 3649 3439 2912
241 3573 3540 2887
242 3501 3602 2897
243 3378 3702 2920
244 3259 3764 2977
245 3196 3795 3009
246 3113 3818 3069
247 3083 3816 3101
248 3007 3832 3161
249 2947 3792 3261
250 2887 3754 3359
251 2909 3669 3422
252 2922 3583 3495
253 2916 3475 3609
254 2959 3391 3650
255 2988 3301 3711
256 3097 3212 3691
257 3170 3155 3675
258 3214 3133 3653
259 3263 3061 3676
260 3309 3011 3680
261 3391 2988 3621
262 3466 2946 3588
263 3552 2969 3479
264 3637 2998 3365
265 3650 3043 3307
266 3645 3099 3256
267 3731 3128 3141
268 3714 3160 3126
269 3705 3199 3096
270 3692 3266 3042
271 3640 3293 3067
272 3623 3295 3082
273 3581 3305 3114
274 3546 3306 3148
275 3465 3318 3217
276 3370 3387 3243
277 3297 3383 3320
278 3246 3418 3336
279 3252 3438 3310
280 3224 3425 3351
281 3204 3446 3350
282 3189 3391 3420
283 3210 3383 3407
284 3190 3350 3460
285 3258 3240 3502
286 3341 3173 3486
287 3382 3143 3475
288 3411 3139 3450
289 3474 3074 3452
290 3535 3038 3427
291 3616 2989 3395
292 3666 2976 3358
293 3716 2966 3318
294 3691 3025 3284
295 3753 3017 3230
296 3822 3046 3132
297 3808 3077 3115
298 3808 3121 3071
299 3793 3205 3002
300 3753 3229 3018
301 3724 3339 2937
302 3668 3406 2926
303 3572 3486 2942
304 3518 3581 2901
305 3413 3692 2895
306 3289 3774 2937
307 3215 3771 3014
308 3164 3773 3063
309 3124 3740 3136
310 3051 3737 3212
311 3038 3685 3277
312 3024 3665 3311
313 3013 3574 3413
314 3031 3521 3448
315 3060 3471 3469
316 3093 3382 3525
317 3103 3353 3544
318 3136 3300 3564
319 3173 3276 3551
320 3136 3260 3604
321 3190 3241 3569
322 3248 3190 3562
323 3344 3155 3501
324 3415 3162 3423
325 3467 3120 3413
326 3581 3099 3320
