time toxic immune normal
327 3619 3113 3268
328 3575 3228 3197
329 3571 3204 3225
330 3497 3266 3237
331 3469 3290 3241
332 3431 3327 3242
333 3416 3354 3230
334 3385 3422 3193
335 3345 3447 3208
336 3285 3510 3205
337 3231 3546 3223
338 3163 3582 3255
339 3140 3571 3289
340 3096 3609 3295
341 3058 3591 3351
342 3044 3565 3391
343 3051 3497 3452
344 3069 3447 3484
345 3096 3361 3543
346 3103 3288 3609
347 3137 3196 3667
348 3153 3128 3719
349 3170 3092 3738
350 3205 3044 3751
351 3292 3001 3707
352 3299 3019 3682
353 3349 3037 3614
354 3421 3095 3484
355 3431 3116 3453
356 3503 3154 3343
357 3537 3188 3275
358 3494 3301 3205
359 3488 3355 3157
360 3388 3442 3170
361 3371 3445 3184
362 3326 3501 3173
363 3291 3502 3207
364 3239 3488 3273
365 3252 3451 3297
366 3159 3485 3356
367 3156 3469 3375
368 3164 3439 3397
369 3137 3437 3426
370 3097 3423 3480
371 3062 3404 3534
372 3026 3411 3563
373 3007 3451 3542
374 2972 3470 3558
375 2966 3483 3551
376 3009 3462 3529
377 3080 3431 3489
378 3124 3419 3457
379 3194 3412 3394
380 3252 3373 3375
381 3277 3375 3348
382 3338 3353 3309
383 3401 3317 3282
384 3424 3307 3269
385 3441 3273 3286
386 3505 3241 3254
387 3446 3291 3263
388 3459 3281 3260
389 3434 3333 3233
390 3440 3372 3188
391 3445 3372 3183
392 3487 3374 3139
393 3472 3382 3146
394 3511 3354 3135
395 3519 3364 3117
396 3540 3351 3109
397 3547 3355 3098
398 3557 3356 3087
399 3586 3361 3053
400 3562 3369 3069
401 3514 3396 3090
402 3500 3348 3152
403 3458 3412 3130
404 3433 3406 3161
405 3416 3417 3167
406 3389 3418 3193
407 3384 3440 3176
408 3354 3454 3192
409 3344 3408 3248
410 3303 3393 3304
411 3275 3397 3328
412 3246 3387 3367
413 3236 3368 3396
414 3296 3309 3395
415 3320 3235 3445
416 3371 3208 3421
417 3424 3142 3434
418 3483 3054 3463
419 3521 3044 3435
420 3560 3028 3412
421 3609 3013 3378
422 3610 3041 3349
423 3664 3070 3266
